name,full_address,postcode,council,town
THE MET,"The Met, Abertillery, Mitre Street, Abertillery, Blaenau Gwent NP13 1AL",NP13 1AL,Blaenau Gwent,Abertillery
National Waterfront Museum,"National Waterfront Museum, Oystermouth Rd, Maritime Quarter, Swansea SA1 3RD ",SA1 3RD ,Swansea,Swansea
St Fagans National Museum of History,"St. Fagans, National Museum of History, Cardiff CF5 6XB",CF5 6XB,Cardiff,St. Fagans
UWC Atlantic College St Donat's Castle,"St. Donat's Castle, UWC Atlantic College, CF61 1WF",CF61 1WF,Vale of Glamorgan,St. Donats
Porth Plaza Car park ,"Porth Plaza Car park , 52 Pontypridd Rd, Porth CF39 9PN",CF39 9PN,Rhondda Cynon Taf,Porth
De Winton Street Car Park,"De Winton Street Car Park, De Winton Street, Tonypandy, CF40 2QU",CF40 2QU,Rhondda Cynon Taf,Tonypandy
Lime Street Car Park,"Lime Street Car Park, Lake St, Ferndale CF43 4HL",CF43 4HL,Rhondda Cynon Taf,Ferndale
Henry Street Car Park,"Henry Street Car Park, Henry Street, Mountain Ash West, CF45 3HD",CF45 3HD ,Rhondda Cynon Taf,Mountain Ash West
Aberdare Library Square and Car Park,"Aberdare Library Square and Car Park, 18 High St, Aberdare CF44 7AW ",CF44 7AW ,Rhondda Cynon Taf,Aberdare East
National Slate Museum,"National Slate Museum, Llanberis, Caernarfon LL55 4TY",LL55 4TY,Gwynedd,Llanddeiniolen
National Museum Cardiff,"National Museum Cardiff, Cardiff CF10 3NP",CF10 3NP,Cardiff,Cardiff
"Turner House, Plymouth Road, Penarth, CF64 3DH","Turner House, 12 Plymouth Rd, Penarth CF64 3DH",CF64 3DH,Vale of Glamorgan,Penarth
National Wool Museum,"National Wool Museum, Dre-Fach Felindre, Felindre, Llandysul SA44 5UP",SA44 5UP,Carmarthenshire,Llangeler
"Penarth Pier Pavilion, The Esplanade, Penarth","The Esplanade, Penarth CF64 3AU",CF64 3AU,Vale of Glamorgan,Penarth
"Cardiff Castle, Castle Street, Cardiff CF10 3RB","Cardiff Castle, Castle Street, Cardiff CF10 3RB",CF10 3RB,Cardiff,Cardiff
Rhondda Heritage Park,"Rhondda Heritage Park, Coedcae Rd, South Wales CF37 2NP",CF37 2NP,Rhondda Cynon Taf,Trehafod
"Margam Country Park, Margam, Port Talbot, SA13 2TJ ","Margam Country Park, Margam, Port Talbot, SA13 2TJ ",SA13 2TJ,Neath Port Talbot,Margam
Digital Event,Digital Event,Digital Event,Digital Event,Digital Event
Barry High Street,"High St, Barry CF62 7EB",CF62 7EB,Vale of Glamorgan,Barry
Porth Plaza Car Park,"Porth Plaza Car Park, 52 Pontypridd Rd, Porth CF39 9PN",CF39 9PN,Rhondda Cynon Taf,Porth
"The Spiegeltent, Cardiff Castle Grounds, Castle Street, Cardiff, CF10 3RB","Cardiff Castle, The Spiegeltent, Cardiff Castle Grounds, Castle Street, Cardiff, CF10 3RB",CF10 3RB,Cardiff,Cardiff
Harlech Castle,Harlech LL46 2YH , LL46 2YH ,Gwynedd,Harlech
"Amelia Trust Farm, CF62 3AS","Amelia Trust Farm, Five Mile Ln, Barry CF62 3AS",CF62 3AS,Vale of Glamorgan,Llancarfan
"Insole Court, Fairwater Road, Llandaff, Cardiff CF5 2LN ","Insole Court, Fairwater Road, Llandaff, Cardiff CF5 2LN ",CF5 2LN,Cardiff,Llandaff
Chepstow Castle,"Chepstow Castle, Bridge St, Chepstow NP16 5EY ",NP16 5EY,Monmouthshire,Chepstow
"Vale of Glamorgan, Penllyn Estate, Llwynhelig, Cowbridge, Vale of Glamorgan, CF71 7FF","Forage Farmshop, Penllyn Estate, Llwynhelig, Cowbridge, Vale of Glamorgan, CF71 7FF",CF71 7FF,Vale of Glamorgan,Penllyn
"Central Park, Barry, CF63 4RW","Kings Square, Barry CF63 4RW",CF63 4RW,Vale of Glamorgan,Barry
"Kings Square, Barry, CF63 4RW","Kings Square, Barry CF63 4RW",CF63 4RW,Vale of Glamorgan,Barry
Barry Town Centre,"Kings Square, Barry CF63 4RW",CF63 4RW,Vale of Glamorgan,Barry
"Heol yr Orsaf, Pontyclun","Pontyclun, Heol Yr Orsaf,  Wales, CF72 9TY ",CF72 9TY,Rhondda Cynon Taf,Pont-y-clun
National Roman Legion Museum,"National Roman Legion Museum, High St, Caerleon, Newport NP18 1AE",NP18 1AE,Newport,Caerleon
"Barry Library, 160 Kings Square, Barry, CF63 4RW","Barry Library, 160 Kings Square, Barry, CF63 4RW",CF63 4RW,Vale of Glamorgan,Barry
Llantwit Major Town Centre,"Llantwit Major, Wales, CF61 1SA",CF61 1SA,Vale of Glamorgan,Llantwit Major
Big Pit National Coal Museum,"Big Pit, National Coal Museum, Pontypool NP4 9XP",NP4 9XP,Torfaen,Blaenavon
Blaenavon Ironworks,"Blaenavon Ironworks, North St, Blaenavon NP4 9RN ",NP4 9RN,Torfaen,Blaenavon
"Saint Donat's Castle, UWC Atlantic College, CF61 1WF","St. Donat's Castle, UWC Atlantic College, CF61 1WF",CF61 1WF,Vale of Glamorgan,St. Donats
"Saint Donat's, Llantwit Major, CF611WF","St. Donat's Castle, UWC Atlantic College, CF61 1WF",CF61 1WF,Vale of Glamorgan,St. Donats
"St Donat's, Llantwit Major, Vale of Glamorgan, CF61 1WF","St. Donat's Castle, UWC Atlantic College, CF61 1WF",CF61 1WF,Vale of Glamorgan,St. Donats
"Penarth Pier Pavilion, The Esplanade, Penarth, CF64 3AU","Penarth Pier Pavilion, The Esplanade, Penarth CF64 3AU",CF64 3AU,Vale of Glamorgan,Penarth
Tretower Court and Castle,"Tretower Court and Castle, Powys, Tretower, Crickhowell NP8 1RF",NP8 1RF,Powys,Llanfihangel Cwmdu with Bwlch and Cathedine
"UWC Atlantic College St Donat's Castle, Saint Donats, CF61 1WF","Saint Donat's Castle, UWC Atlantic College, CF61 1WF",CF61 1WF,Vale of Glamorgan,St. Donats
Barry Island,"Barry Island, Island Road, Barry, Wales, CF62 7AR",CF62 7AR,Vale of Glamorgan,Barry
"UWC Atlantic College, Llantwit Major, CF61 1WF","St Donat's Castle, St Donats, Llantwit Major CF61 1WF",CF61 1WF,Vale of Glamorgan,St. Donats
Caerphilly Castle,"Caerphilly Castle, Castle Street, Caerphilly, Wales, CF83 1NZ",CF83 1NZ,Caerphilly,Caerphilly
